turnover_id,Client_ID,Partner_ID,Currency_ID,Game_ID,Provider_ID,Product_ID,Is_RakeTransaction,Is_Calculated,Is_Rollbacked,Is_Bonus,Bet_Amount,Win_Amount,BonusBet_Amount,BonusWin_Amount,RakeBet_Amount,RakeWin_Amount,BetAmountIn_EUR,WinAmountIn_EUR,BonusBetAmountIn_EUR,BonusWinAmountIn_EUR,RakeBetAmountIn_EUR,RakeWinAmountIn_EUR
260,117,4,Currency C,318,337,441,FALSE,TRUE,FALSE,FALSE,5000,7500,0,0,0,0,3.573745,5.3606175,0,0,0,0
261,174,4,Currency C,319,335,443,FALSE,TRUE,FALSE,FALSE,5850000,6678325,0,0,0,0,4181.28165,4773.326115,0,0,0,0
262,174,4,Currency C,319,335,443,FALSE,TRUE,FALSE,FALSE,100000,0,0,0,0,0,71.4749,0,0,0,0,0
263,140,4,Currency C,259,337,441,FALSE,TRUE,FALSE,FALSE,342500,264750,0,0,0,0,244.8015325,189.2297978,0,0,0,0
264,140,4,Currency C,259,337,441,FALSE,TRUE,FALSE,FALSE,262500,312375,0,0,0,0,187.6216125,223.2697189,0,0,0,0
265,140,4,Currency C,259,337,441,FALSE,TRUE,FALSE,FALSE,700000,534125,0,0,0,0,500.3243,381.7653098,0,0,0,0
266,140,4,Currency C,259,337,441,FALSE,TRUE,FALSE,FALSE,650000,775500,0,0,0,0,464.58685,554.2878495,0,0,0,0
267,140,4,Currency C,259,337,441,FALSE,TRUE,FALSE,FALSE,30000,0,0,0,0,0,21.44247,0,0,0,0,0
268,140,4,Currency C,259,337,441,FALSE,TRUE,FALSE,FALSE,45000,0,0,0,0,0,32.163705,0,0,0,0,0
269,144,4,Currency C,320,347,443,FALSE,TRUE,FALSE,FALSE,44375,7875,0,0,0,0,31.71698688,5.628648375,0,0,0,0
270,171,4,Currency C,321,354,446,FALSE,TRUE,FALSE,FALSE,30000,0,0,0,0,0,21.44247,0,0,0,0,0
271,171,4,Currency C,321,354,446,FALSE,TRUE,FALSE,FALSE,50000,0,0,0,0,0,35.73745,0,0,0,0,0
272,171,4,Currency C,321,354,446,FALSE,TRUE,FALSE,FALSE,146250,0,0,0,0,0,104.5320413,0,0,0,0,0
273,171,4,Currency C,322,354,446,FALSE,TRUE,FALSE,FALSE,37500,0,0,0,0,0,26.8030875,0,0,0,0,0
274,171,4,Currency C,322,354,446,FALSE,TRUE,FALSE,FALSE,50000,0,0,0,0,0,35.73745,0,0,0,0,0
275,171,4,Currency C,322,354,446,FALSE,TRUE,FALSE,FALSE,150000,0,0,0,0,0,107.21235,0,0,0,0,0
276,171,4,Currency C,323,354,446,FALSE,TRUE,FALSE,FALSE,25000,0,0,0,0,0,17.868725,0,0,0,0,0
277,171,4,Currency C,323,354,446,FALSE,TRUE,FALSE,FALSE,75000,0,0,0,0,0,53.606175,0,0,0,0,0
278,153,4,Currency C,324,337,441,FALSE,TRUE,FALSE,FALSE,205000,170375,0,0,0,0,146.523545,121.7753609,0,0,0,0
279,153,4,Currency C,324,337,441,FALSE,TRUE,FALSE,FALSE,12500,24375,0,0,0,0,8.9343625,17.42200688,0,0,0,0
280,154,4,Currency C,264,337,441,FALSE,TRUE,FALSE,FALSE,67500,50000,0,0,0,0,48.2455575,35.73745,0,0,0,0
281,143,4,Currency C,264,337,441,FALSE,TRUE,FALSE,FALSE,60000,34250,0,0,0,0,42.88494,24.48015325,0,0,0,0
282,168,4,Currency C,266,344,443,FALSE,TRUE,FALSE,FALSE,1260000,1122450,0,0,0,0,900.58374,802.270015,0,0,0,0
283,147,4,Currency C,325,337,441,FALSE,TRUE,FALSE,FALSE,22500,9750,0,0,0,0,16.0818525,6.96880275,0,0,0,0
284,145,4,Currency C,326,337,441,FALSE,TRUE,FALSE,FALSE,332500,408625,0,0,0,0,237.6540425,292.0643103,0,0,0,0
285,172,4,Currency C,327,337,441,FALSE,TRUE,FALSE,FALSE,57500,0,0,0,0,0,41.0980675,0,0,0,0,0
286,172,4,Currency C,327,337,441,FALSE,TRUE,FALSE,FALSE,1425000,1350000,0,0,0,0,1018.517325,964.91115,0,0,0,0
287,158,4,Currency C,327,337,441,FALSE,TRUE,FALSE,FALSE,2875,0,0,0,0,0,2.054903375,0,0,0,0,0
288,145,4,Currency C,327,337,441,FALSE,TRUE,FALSE,FALSE,13875,27750,0,0,0,0,9.917142375,19.83428475,0,0,0,0
289,145,4,Currency C,328,337,441,FALSE,TRUE,FALSE,FALSE,875,11375,0,0,0,0,0.625405375,8.130269875,0,0,0,0
290,154,4,Currency C,328,337,441,FALSE,TRUE,FALSE,FALSE,13680,0,0,0,0,0,9.77776632,0,0,0,0,0
291,147,4,Currency C,328,337,441,FALSE,TRUE,FALSE,FALSE,4125,0,0,0,0,0,2.948339625,0,0,0,0,0
292,161,4,Currency C,329,355,447,FALSE,TRUE,FALSE,FALSE,375,0,0,0,0,0,0.268030875,0,0,0,0,0
293,154,4,Currency C,233,337,441,FALSE,TRUE,FALSE,FALSE,25000,0,0,0,0,0,17.868725,0,0,0,0,0
294,117,4,Currency C,233,337,441,FALSE,TRUE,FALSE,FALSE,35000,41625,0,0,0,0,25.016215,29.75142713,0,0,0,0
295,173,4,Currency C,233,337,441,FALSE,TRUE,FALSE,FALSE,550000,473125,0,0,0,0,393.11195,338.1656208,0,0,0,0
296,147,4,Currency C,233,337,441,FALSE,TRUE,FALSE,FALSE,75000,74375,0,0,0,0,53.606175,53.15945688,0,0,0,0
297,140,4,Currency C,233,337,441,FALSE,TRUE,FALSE,FALSE,357500,317000,0,0,0,0,255.5227675,226.575433,0,0,0,0
298,140,4,Currency C,233,337,441,FALSE,TRUE,FALSE,FALSE,202500,228750,0,0,0,0,144.7366725,163.4988338,0,0,0,0
299,156,4,Currency C,233,337,441,FALSE,TRUE,FALSE,FALSE,110000,73125,0,0,0,0,78.62239,52.26602063,0,0,0,0
300,168,4,Currency C,330,344,443,FALSE,TRUE,FALSE,FALSE,2200500,1725050,0,0,0,0,1572.805175,1232.977763,0,0,0,0
301,117,4,Currency C,331,337,441,FALSE,TRUE,FALSE,FALSE,5000,10000,0,0,0,0,3.573745,7.14749,0,0,0,0
302,117,4,Currency C,331,337,441,FALSE,TRUE,FALSE,FALSE,87500,74375,0,0,0,0,62.5405375,53.15945688,0,0,0,0
303,117,4,Currency C,331,337,441,FALSE,TRUE,FALSE,FALSE,55000,62375,0,0,0,0,39.311195,44.58246888,0,0,0,0
304,143,4,Currency C,270,337,441,FALSE,TRUE,FALSE,FALSE,145000,131875,0,0,0,0,103.638605,94.25752438,0,0,0,0
305,140,4,Currency C,270,337,441,FALSE,TRUE,FALSE,FALSE,137500,119250,0,0,0,0,98.2779875,85.23381825,0,0,0,0
306,140,4,Currency C,270,337,441,FALSE,TRUE,FALSE,FALSE,45000,15000,0,0,0,0,32.163705,10.721235,0,0,0,0
307,173,4,Currency C,270,337,441,FALSE,TRUE,FALSE,FALSE,1027500,903500,0,0,0,0,734.4045975,645.7757215,0,0,0,0
308,145,4,Currency C,332,337,441,FALSE,TRUE,FALSE,FALSE,100000,100000,0,0,0,0,71.4749,71.4749,0,0,0,0
309,142,4,Currency C,332,337,441,FALSE,TRUE,FALSE,FALSE,240000,342375,0,0,0,0,171.53976,244.7121889,0,0,0,0
